name,signup_date,plan_value,status,cancel_date
Aarna AI,2025-03-29,4000,Ativo,
Bitcoin Address Services,2025-06-23,9000,Ativo,
Balancer OPCO Limited,2025-06-23,6000,Ativo,
Bitcoin Address Services 2,2025-06-23,9000,Ativo,
